Symbol	Last Sale	Net Change	% Change	Market Cap	Volume					
MPX	$12.42 	-0.17	-1.35%	422181311	15502					
MQ	$16.92 	-0.17	-1.00%	9139123437	3013283					
MQT	$14.44 	0.0441	0.31%	325834051	20962					
MQY	$16.05 	-0.07	-0.43%	1174679614	135068					
MRC	$7.22 	-0.04	-0.55%	596850339	390944					
MRCY	$55.27 	-0.14	-0.25%	3130816903	1156936					
MRK	$76.81 	0.24	0.31%	1.94018E+11	5727126					
MRNA	$241.44 	-5.44	-2.20%	97891733799	9275788					
MRNS	$12.32 	0.07	0.57%	452961494	115197					
MRO	$16.48 	-0.08	-0.48%	12830288063	11954286					
MRSN	$5.81 	-0.15	-2.52%	417807750	507062					
MRTN	$16.96 	0	0.00%	1406710549	94897					
MRTX	$144.80 	-2.83	-1.92%	8002333918	270838					
MRVI	$40.67 	-2.26	-5.26%	5346425492	533353					
MS	$99.97 	-0.43	-0.43%	1.79387E+11	4269114					
MSA	$151.80 	1.81	1.21%	5951684990	46735					
MSB	$25.95 	-0.27	-1.03%	340464260	36314					
MSBI	$25.25 	0.08	0.32%	555912484	80038					
MSCI	$614.98 	-3.79	-0.61%	50703080176	131992					
MSDA	$9.86 	0.04	0.41%	708687500	1859					
MSEX	$113.70 	0.01	0.01%	1989410606	66763					
MSFT	$341.25 	-1.2	-0.35%	2.5621E+12	15635908					
MSGS	$174.33 	0.59	0.34%	4221948521	91930					
MSI	$269.81 	0.89	0.33%	45570231237	498697					
MSM	$84.61 	0.1	0.12%	4720450958	327992					
MSP	$26.95 	-0.03	-0.11%	4394830178	162983					
MSTR	$567.97 	-40.31	-6.63%	6275181331	345292					
MTAC	$9.92 	0.005	0.05%	310000000	11459					
MTB	$154.19 	0.71	0.46%	19841873386	415295					
MTCH	$132.94 	-1.07	-0.80%	37633361377	1269859					
MTDR	$38.32 	-0.93	-2.37%	4496300115	832265					
MTG	$14.26 	-0.15	-1.04%	4642809088	1584922					
MTH	$118.69 	0.57	0.48%	4428457426	136645					
MTN	$329.57 	-0.95	-0.29%	13331504950	189408					
MTOR	$24.90 	0.14	0.57%	1744893620	233229					
MTRN	$91.46 	0.69	0.76%	1869368409	38898					
MTSI	$79.50 	-0.44	-0.55%	5534124824	256702					
MTTR	$22.28 	-1.63	-6.82%	5402994913	4761586					
MTW	$19.05 	0.06	0.32%	667538270	236175					
MTX	$73.11 	0.1	0.14%	2434053131	69796					
MTZ	$91.85 	-0.18	-0.20%	6824792457	271856					
MU	$92.94 	-1.49	-1.58%	1.04109E+11	13670414					
MUA	$14.75 	-0.05	-0.34%	563835654	73431					
MUC	$15.40 	0.15	0.98%	632038099	115410					
MUDS	$9.94 	0.01	0.10%	392940625	61774					
MUE	$13.82 	-0.07	-0.50%	311236889	23522					
MUI	$15.27 	-0.06	-0.39%	584783982	26977					
MUJ	$15.72 	-0.02	-0.13%	472970297	61983					
MUR	$26.54 	-0.41	-1.52%	4099345257	850415					
MUSA	$196.14 	0.65	0.33%	5069246146	130577					
MVBF	$41.19 	-0.53	-1.27%	497312284	25962					
MVF	$9.40 	-0.019	-0.20%	609461887	124648					
MVIS	$5.39 	-0.48	-8.18%	884519536	4109565					
MVST	$6.07 	0.08	1.34%	1824170932	1547332					
MVT	$15.46 	0.16	1.05%	330088918	24555					
MWA	$14.35 	0.06	0.42%	2250823976	341441					
MXCT	$10.09 	-0.21	-2.04%	1013379383	416518					
MXL	$74.68 	-2.39	-3.10%	5730565020	463161					
MYC	$15.00 	0	0.00%	321292410	42094					
MYD	$14.58 	0.04	0.28%	684089153	76385					
MYE	$20.05 	0.1	0.50%	726595860	48650					
MYGN	$27.34 	0	0.00%	2183226104	395794					
MYI	$14.76 	0	0.00%	1005904052	33385					
MYJ	$15.75 	0.06	0.38%	379959568	36808					
MYN	$14.22 	-0.08	-0.56%	562921224	29755					
MYOV	$15.48 	-0.24	-1.53%	1444424171	428222					
MYPS	$3.94 	-0.21	-5.06%	496469909	214140					
MYRG	$107.52 	-0.1	-0.09%	1813856701	57236					
NAC	$15.54 	0.13	0.84%	2249182817	198769					
NAD	$15.94 	0.01	0.06%	3720470201	255251					
NAN	$14.81 	0.055	0.37%	456908227	9428					
NARI	$91.99 	0.09	0.10%	4618335688	283541					
NATI	$43.94 	-0.38	-0.86%	5794886380	397626					
NATR	$18.48 	-0.09	-0.49%	365176110	68489					
NAUT	$5.54 	-0.23	-3.99%	687883939	328071					
NAVI	$21.55 	0	0.00%	3473264617	798174					
NBB	$22.61 	0.05	0.22%	643929951	45282					
NBHC	$43.96 	0.04	0.09%	1331894409	54958					
NBIX	$84.73 	0.24	0.28%	8038054898	370996					
NBTB	$38.71 	0.25	0.65%	1678073739	70475					
NCA	$10.15 	0.035	0.35%	336048189	89523					
NCAC	$9.88 	-0.1	-1.00%	322829000	896					
NCACU	$10.15 	0	0.00%	331651250	7630					
NCBS	$87.52 	0.73	0.84%	1250218299	63811					
NCLH	$21.91 	-0.23	-1.04%	9134101858	18274288					
NCNO	$55.17 	-0.57	-1.02%	5337665888	761885					
NCR	$39.74 	0.01	0.03%	5245680000	703278					
NCV	$5.78 	-0.01	-0.17%	522359229	327412					
NCZ	$5.08 	-0.02	-0.39%	386668005	304274					
NDAC	$9.74 	-0.01	-0.10%	430118400	2582					
NDAQ	$209.73 	0.75	0.36%	35071471109	389452					
NDLS	$9.23 	-0.15	-1.60%	421713947	230414					
NDSN	$256.59 	-0.03	-0.01%	14927535334	100488					
NEA	$15.46 	0.04	0.26%	4623118065	298764					
NEE	$91.88 	0.56	0.61%	1.80281E+11	3096418					
NEM	$60.29 	0.11	0.18%	48077374478	4712670					
NEO	$32.57 	-0.58	-1.75%	4010098164	551356					
NEOG	$46.40 	-0.25	-0.54%	4999787827	505559					
NEP	$83.21 	-0.07	-0.08%	6979070915	224391					
NESR	$9.49 	-0.27	-2.77%	867018120	177334					
NET	$132.93 	-6.01	-4.33%	42769639816	2105864					
NEU	$348.66 	2.18	0.63%	3649536140	21867					
NEV	$15.47 	-0.02	-0.13%	386083630	59962					
NEWR	$109.91 	-1.91	-1.71%	7189400167	496568					
NEWT	$27.76 	0.13	0.47%	626237840	208361					
NEX	$3.70 	-0.07	-1.86%	895284738	723841					
NEXT	$3.00 	-0.01	-0.33%	371488920	297360					
NFBK	$16.36 	-0.02	-0.12%	811768247	206942					
NFE	$24.69 	-0.63	-2.49%	5107453445	330830					
NFG	$64.14 	0.26	0.41%	5848931346	243713					
NFJ	$16.09 	0.09	0.56%	1525357438	203613					
NFLX	$610.71 	-2.41	-0.39%	2.70515E+11	1882818					
NGCA	$9.57 	0.22	2.35%	457678752	1111866					
NGM	$18.00 	-0.18	-0.99%	1398763512	273433					
NGVC	$14.25 	0.21	1.50%	322675433	35130					
NHC	$68.40 	0.19	0.28%	1054956456	29288					
NHI	$57.42 	0.47	0.83%	2632741395	153744					
NI	$27.36 	0.29	1.07%	10744400017	1666646					
NID	$14.86 	0.01	0.07%	697077548	54856					
NIE	$30.30 	0.14	0.46%	839581640	89461					
NJR	$40.62 	-0.21	-0.51%	3897686860	349592					
NKE	$166.42 	-1.16	-0.69%	2.63413E+11	2658628					
NKLA	$10.55 	-0.23	-2.13%	4292640453	15955443					
NKTR	$15.04 	-0.34	-2.21%	2775739145	1778938					
NKTX	$14.91 	-0.28	-1.84%	491275778	344670					
NKX	$15.81 	0.02	0.13%	751296481	99656					
NL	$7.07 	-0.05	-0.70%	345035329	12864					
NLOK	$26.18 	0.05	0.19%	15230346397	1213840					
NLY	$8.24 	0.01	0.12%	11948994469	19662301					
NMFC	$13.71 	0.02	0.15%	1328594805	460915					
NMIH	$21.68 	0.11	0.51%	1858965692	478552					
NMRK	$18.10 	0.21	1.17%	3244541564	1060803					
NMZ	$15.15 	0.01	0.07%	1482684368	121292					
NN	$9.29 	-0.02	-0.22%	886965853	61042					
NNI	$98.01 	0.24	0.25%	3748083817	36759					
NNN	$47.33 	0.03	0.06%	8311947498	551719					
NOC	$385.33 	1.12	0.29%	60626913977	307842					
NODK	$18.78 	-0.21	-1.11%	398755289	5384					
NOG	$20.75 	-0.42	-1.98%	1601798097	630049					
NOTV	$42.99 	-1.57	-3.52%	1043199596	80369					
NOV	$13.66 	0.05	0.37%	5336850452	1610141					
NOVA	$26.04 	-0.25	-0.95%	2923418410	1031828					
NOVT	$175.92 	-0.07	-0.04%	6262691835	53768					
NOW	$654.00 	-9.28	-1.40%	1.30146E+11	482239					
NP	$46.13 	0.13	0.28%	773090686	26237					
NPK	$81.67 	-0.41	-0.50%	574952717	18141					
NPO	$112.06 	0.17	0.15%	2308979267	42120					
NPTN	$15.30 	0.03	0.20%	812520194	485854					
NPV	$16.85 	0.12	0.72%	301572252	3015					
NQP	$14.75 	0	0.00%	551404295	58220					
NRC	$42.43 	-0.07	-0.17%	1079801622	31532					
NRDS	$14.60 	-0.23	-1.55%	961188679	178323					
NRDY	$4.71 	-0.16	-3.29%	395052644	1725257					
NRG	$42.68 	0.31	0.73%	10449713625	1081764					
NRIX	$30.16 	-0.19	-0.63%	1345517434	198181					
NRK	$13.79 	-0.01	-0.07%	1202974842	67120					
NRP	$31.35 	-0.15	-0.48%	387213443	8142					
NRZ	$11.06 	0.06	0.55%	5160373915	3843727					
NS	$14.89 	0.27	1.85%	1631458735	512075					
NSC	$293.29 	1.76	0.60%	71370511045	935724					
NSIT	$104.28 	0.28	0.27%	3637892580	142837					
NSP	$116.59 	-0.64	-0.55%	4488918566	60724					
NSSC	$50.80 	-0.75	-1.46%	1864978134	30782					
NSTG	$41.25 	-0.39	-0.94%	1883120951	594977					
NTAP	$93.26 	-0.08	-0.09%	20729622126	620356					
NTCT	$33.73 	-0.23	-0.68%	2491794036	186276					
NTGR	$30.11 	0.42	1.42%	881170174	251344					
NTLA	$119.56 	-0.16	-0.13%	8897585138	659215					
NTNX	$32.46 	-0.49	-1.49%	7043404512	968308					
NTRA	$90.34 	-0.91	-1.00%	8545695677	447312					
NTRS	$120.05 	-0.53	-0.44%	24929732702	400186					
NTST	$22.31 	0.25	1.13%	884032054	199411					
NTUS	$24.19 	-0.2	-0.82%	826144548	93594					
NUAN	$55.38 	0.06	0.11%	17691254695	2771065					
NUE	$114.45 	-2.2	-1.89%	32709681129	1524617					
NUS	$51.06 	0.61	1.21%	2543978055	283627					
NUV	$10.36 	0.02	0.19%	2148443032	629450					
NUVA	$51.82 	-0.89	-1.69%	2680966827	485751					
NUVB	$8.14 	-0.05	-0.61%	1772791324	481203					
NUVL	$19.55 	0.34	1.77%	943951594	56401					
NVAX	$155.84 	-1.96	-1.24%	11782762096	12363518					
NVDA	$303.22 	-6.23	-2.01%	7.5805E+11	41963268					
NVEC	$68.21 	-0.54	-0.79%	329674755	11799					
NVEE	$135.27 	0.86	0.64%	2083300169	52653					
NVG	$17.61 	-0.05	-0.28%	3758917931	292379					
NVR	$5,869.47 	49.4	0.85%	20441879034	7855					
NVRO	$84.33 	-0.5	-0.59%	2943465114	299144					
NVSA	$9.73 	0	0.00%	335685000	6675					
NVTA	$14.76 	-0.42	-2.77%	3341233643	4236367					
NVTS	$15.41 	-0.6	-3.75%	1814273343	1108653					
NWBI	$14.14 	0.01	0.07%	1789594542	406010					
NWE	$56.74 	0.96	1.72%	3118813679	227046					
NWL	$21.74 	-0.1	-0.46%	9248196000	2162591					
NWLI	$213.80 	-0.05	-0.02%	777381076	3775					
NWN	$48.34 	-0.01	-0.02%	1485501445	145300					
NWPX	$31.15 	0.08	0.26%	307468162	39103					
NWS	$22.93 	0.05	0.22%	13582504305	232255					
NWSA	$22.66 	0.08	0.35%	13422570761	1646039					
NX	$25.46 	0.37	1.48%	846495073	205288					
NXGN	$17.87 	0.03	0.17%	1222082927	172552					
NXJ	$15.24 	0	0.00%	632199945	77669					
NXRT	$81.53 	0.57	0.70%	2058766291	105386					
NXST	$152.59 	-0.4	-0.26%	6239593549	420997					
NYCB	$12.25 	0.03	0.25%	5696504788	3025855					
NYMT	$3.77 	-0.02	-0.53%	1429910011	2850009					
NYT	$47.72 	0.08	0.17%	8011027163	626947					
NZF	$17.06 	0	0.00%	2424667939	98090					
O	$71.40 	0.46	0.65%	40395138050	2663830					
OACB	$9.88 	0.01	0.10%	308750000	35908					
OAS	$129.50 	-0.92	-0.71%	2557578639	240042					
OB	$13.47 	-0.35	-2.53%	747692423	33181					
OBNK	$43.18 	0.27	0.63%	1014559784	25825					
OC	$90.16 	0.44	0.49%	9059876544	553821					
OCDX	$20.30 	-0.18	-0.88%	4814641579	2943211					
OCFC	$22.22 	-0.03	-0.14%	1320397414	147039					
OCGN	$4.72 	-0.39	-7.63%	940157339	13481952					
OCN	$40.07 	0.96	2.46%	368674133	36280					
OCSL	$7.52 	-0.02	-0.27%	1356312178	1202301					
OCUL	$6.68 	-0.19	-2.77%	511755822	523353					
ODFL	$356.64 	1.04	0.29%	41017584382	370635					
ODP	$39.57 	0.37	0.94%	2017014391	190117					
OEPW	$9.74 	0	0.00%	420037500	9600					
OFC	$28.19 	0.09	0.32%	3166437550	283490					
OFLX	$122.61 	-1.22	-0.99%	1237664820	3585					
OGE	$37.83 	0.32	0.85%	7572602848	426114					
OHI	$29.15 	0.63	2.21%	6966095656	2696092					
OHPA	$9.76 	-0.01	-0.10%	505080000	472					
OI	$11.80 	-0.11	-0.92%	1850561231	810222					
OIA	$8.05 	-0.08	-0.98%	383049687	49930					
OII	$11.64 	-0.11	-0.94%	1161656926	424011					
OIS	$5.14 	-0.06	-1.15%	315471669	600783					
OKE	$59.40 	-0.01	-0.02%	26488640158	1194702					
OKTA	$224.47 	-4.94	-2.15%	34914918357	545565					
OLED	$163.97 	2.62	1.62%	7727196438	427951					
OLLI	$50.65 	0.97	1.95%	3197285809	927636					
OLMA	$9.55 	-0.08	-0.83%	384746972	252159					
OLN	$57.69 	-0.22	-0.38%	9194485667	922109					
OLP	$34.60 	-0.12	-0.35%	723526932	42583					
OLPX	$26.39 	-0.51	-1.90%	17104009302	482753					
OM	$44.97 	-1.54	-3.31%	2117831346	228090					
OMC	$73.53 	0.58	0.80%	15629428123	944191					
OMCL	$176.70 	-1.65	-0.93%	7764669436	233043					
OMER	$6.89 	-0.39	-5.36%	430916227	795837					
OMGA	$13.33 	-0.5	-3.62%	636839937	75866					
OMI	$43.98 	-0.06	-0.14%	3318544325	508913					
OMIC	$10.68 	-0.78	-6.81%	769585026	317543					
OMP	$23.17 	0.46	2.03%	1126703346	84335					
ON	$68.32 	-1.46	-2.09%	29434555378	4215004					
ONB	$18.32 	0.26	1.44%	3037712480	989620					
ONEM	$16.86 	-0.34	-1.98%	3218384780	1439108					
ONEW	$55.84 	0.05	0.09%	751780844	54365					
ONTO	$99.52 	-2.75	-2.69%	4904190747	212395					
ONYX	$9.91 	0	0.00%	327649375	604					
OPAD	$7.23 	-0.2	-2.69%	1723235586	224637					
OPCH	$28.23 	0.18	0.64%	5077876698	547931					
OPEN	$14.54 	-0.15	-1.02%	8907388818	5984026					
OPI	$25.14 	0.48	1.95%	1217421218	249039					
OPK	$4.85 	-0.3	-5.83%	3304505334	8077505					
OPRT	$20.56 	-0.93	-4.33%	583973513	83209					
OPRX	$60.73 	-2.62	-4.14%	1079144407	196180					
OPY	$45.44 	0.18	0.40%	573243731	151368					
ORA	$75.54 	0.62	0.83%	4230353386	203092					
ORC	$4.70 	0.03	0.64%	831867330	4510815					
ORCL	$88.65 	-0.89	-0.99%	2.36735E+11	5610446					
ORGN	$6.54 	-0.14	-2.10%	923805640	807482					
ORGO	$9.27 	-0.49	-5.02%	1192530075	510910					
ORI	$24.50 	0.08	0.33%	7521713983	1136310					
ORIC	$15.52 	-0.26	-1.65%	611206560	83261					
ORLY	$696.87 	4.43	0.64%	46953982821	243560					
OSBC	$12.81 	0.03	0.24%	599658210	50610					
OSH	$33.88 	-1.3	-3.70%	8162618415	1165620					
OSIS	$92.55 	-0.21	-0.23%	1660539597	38079					
OSK	$112.14 	0.02	0.02%	7567993077	334704					
OSPN	$17.01 	-0.1	-0.58%	679813257	127302					
OSTK	$60.12 	-0.93	-1.52%	2586033183	1018200					
OSUR	$8.87 	-0.33	-3.59%	638980954	392533					
OTLK	$1.36 	-0.06	-4.23%	304994419	1598917					
OTTR	$68.97 	0.16	0.23%	2865012696	106912					
OUST	$5.32 	-0.19	-3.45%	912934748	1593835					
OWL	$14.98 	-0.06	-0.40%	5463163082	3374925					
OXLC	$7.52 	-0.03	-0.40%	923456000	1603252					
OXM	$99.18 	-0.05	-0.05%	1675266836	70873					
OXY	$29.48 	-0.16	-0.54%	27533759320	9544239					
OYST	$18.65 	1.63	9.58%	487956008	385468					
OZK	$46.42 	0.22	0.48%	5974807837	331998					
PAA	$9.22 	-0.07	-0.75%	6556543752	1688006					
PACB	$19.87 	-0.89	-4.29%	4383289473	1979086					
PACW	$45.00 	0.17	0.38%	5380051275	370427					
PACX	$9.87 	-0.02	-0.20%	496584375	3042					
PAE	$9.91 	-0.01	-0.10%	912122881	283479					
PAG	$105.18 	-0.01	-0.01%	8178026988	107015					
PAGP	$10.09 	0.01	0.10%	1958896967	1091743					
PAHC	$20.99 	-0.16	-0.76%	850170732	44480					
PANW	$564.71 	-3.63	-0.64%	55717903309	625840					
PAR	$51.94 	-3.12	-5.67%	1395354648	193952					
PARR	$15.67 	0.49	3.23%	943194051	291809					
PASG	$6.40 	-0.14	-2.14%	345705594	289624					
PATK	$79.87 	0.83	1.05%	1889405998	187725					
PAYA	$6.60 	-0.11	-1.64%	871330799	394683					
PAYO	$6.82 	-0.16	-2.29%	2312032862	1043579					
PAYX	$135.85 	0.21	0.16%	49008837092	1079141					
PB	$72.44 	0.5	0.70%	6676429340	235329					
PBCT	$17.90 	0.08	0.45%	7661647017	2425899					
PBF	$12.99 	0.05	0.39%	1561989370	2109459					
PBH	$62.47 	0.38	0.61%	3130006938	102469					
PBI	$6.64 	-0.01	-0.15%	1169068971	1476193					
PBT	$8.97 	-0.25	-2.71%	418080900	113470					
PCAR	$86.90 	1.1	1.28%	30169709369	803016					
PCB	$21.99 	0.01	0.05%	326367356	11778					
PCG	$12.06 	0.15	1.26%	23943552564	6854080					
PCH	$58.37 	0.8	1.39%	4031073409	299294					
PCK	$9.44 	-0.1	-1.05%	303812939	26724					
PCN	$17.12 	-0.07	-0.41%	713510240	147159					
PCQ	$18.50 	-0.07	-0.38%	349796021	20208					
PCRX	$61.34 	-0.06	-0.10%	2732358955	438241					
PCT	$9.20 	-0.36	-3.77%	1150231877	1096556					
PCTY	$238.71 	-3.87	-1.60%	13135329983	166435					
PCVX	$22.26 	-0.83	-3.60%	1174997127	120091					
PCYO	$14.37 	0.09	0.63%	343713544	67379					
PDCE	$50.41 	-0.48	-0.94%	4908981806	456938					
PDCO	$29.75 	0.24	0.81%	2900506000	551746					
PDFS	$32.53 	-0.01	-0.03%	1214841438	79202					
PDI	$25.04 	-0.14	-0.56%	1767773920	1096684					
PDM	$18.32 	0.05	0.27%	2274186579	480923					
PDT	$16.83 	-0.1	-0.59%	821316774	129815					
PEAK	$35.88 	0.18	0.50%	19341911361	1568417					
PEAR	$5.27 	0.18	3.54%	726201879	416337					
PEB	$22.13 	-0.18	-0.81%	2907495057	893951					
PEBO	$31.68 	0.08	0.25%	895673972	49028					
PECO	$32.05 	0.09	0.28%	3631265000	82120					
PEG	$65.58 	0.52	0.80%	33161423610	912821					
PEGA	$111.95 	-0.74	-0.66%	9143551514	241714					
PEGR	$9.66 	0.04	0.42%	318510457	519					
PENN	$49.34 	-1.47	-2.89%	8363840891	2810174					
PEO	$16.61 	-0.03	-0.18%	400049840	82285					
PEP	$172.36 	0.89	0.52%	2.38314E+11	2332092					
PETQ	$22.84 	-0.3	-1.30%	665446141	244266					
PETS	$26.56 	-0.61	-2.25%	556244194	164968					
PFBC	$71.26 	0.61	0.86%	1046040861	42147					
PFC	$31.18 	-0.04	-0.13%	1152982334	49756					
PFDR	$9.70 	0	0.00%	394062500	29482					
PFE	$58.01 	-1.19	-2.01%	3.25602E+11	36877786					
PFG	$72.34 	-0.61	-0.84%	19175121987	1026325					
PFGC	$45.39 	-0.53	-1.15%	7004342417	1190210					
PFIS	$52.45 	-0.61	-1.15%	376209269	5134					
PFL	$10.83 	-0.03	-0.28%	371263230	100716					
PFLT	$12.68 	0.04	0.32%	493752023	170540					
PFN	$9.49 	-0.01	-0.11%	729363440	283445					
PFS	$24.41 	0.01	0.04%	1888715963	116925					
PFSI	$69.54 	-0.54	-0.77%	4104891263	374312					
PFTA	$9.71 	0	0.00%	314499365	39					
PG	$162.84 	0.87	0.54%	3.94064E+11	5929383					
PGC	$35.37 	0.27	0.77%	659106439	37785					
PGEN	$3.80 	-0.13	-3.31%	785606296	1086886					
PGNY	$52.41 	0.29	0.56%	4739451866	670074					
PGR	$103.35 	0.03	0.03%	60397740000	1833643					
PGRE	$8.43 	-0.04	-0.47%	1845802503	896788					
PGTI	$22.54 	-0.18	-0.79%	1344008313	102032					
PH	$317.42 	0.89	0.28%	40793216381	306135					
PHAT	$19.19 	-0.81	-4.05%	607239187	73656					
PHK	$6.11 	-0.05	-0.81%	818153440	501425					
PHM	$56.28 	0.9	1.63%	14249289339	1367955					
PHR	$43.61 	-1.15	-2.57%	2234570295	216921					
PI	$89.64 	-2.94	-3.18%	2189988207	189816					
PII	$108.33 	1.33	1.24%	6573655169	302432					
PINC	$41.20 	0.38	0.93%	5020645555	411185					
PING	$23.05 	-0.33	-1.41%	1926577801	1084167					
PIPR	$184.39 	-0.53	-0.29%	3296560376	39294					
PJT	$75.63 	-0.15	-0.20%	1835366605	62109					
PK	$19.15 	-0.22	-1.14%	4528576278	2102980					
PKG	$133.48 	0.48	0.36%	12679367446	544547					
PKI	$195.36 	-2.62	-1.32%	24654469509	520603					
PLAB	$19.00 	-0.31	-1.61%	1157108607	470429					
PLAN	$45.64 	-0.13	-0.28%	6739276428	881330					
PLAY	$38.87 	-0.68	-1.72%	1882195013	617034					
PLBY	$26.65 	-2.74	-9.32%	1102781877	1591371					
PLCE	$79.28 	0.74	0.94%	1138610560	327368					
PLD	$165.79 	-0.1	-0.06%	1.22573E+11	1749255					
PLL	$51.81 	-2.83	-5.18%	1637992216	296936					
PLMI	$9.70 	0	0.00%	387049817	136					
PLMR	$63.98 	-0.28	-0.44%	1626070830	92714					
PLNT	$91.32 	-0.66	-0.72%	7611025584	412070					
PLOW	$39.18 	-0.23	-0.58%	900393660	49176					
PLPC	$63.00 	-0.84	-1.32%	308696535	7453					
PLRX	$13.80 	-0.47	-3.29%	497338117	68991					
PLSE	$14.92 	-0.06	-0.40%	442098742	86651					
PLUG	$28.33 	-1.27	-4.29%	16328160012	12983279					
PLUS	$53.50 	-0.01	-0.02%	1445406183	74436					
PLXS	$96.75 	-0.27	-0.28%	2709928800	52281					
PLYM	$30.77 	-0.21	-0.68%	1064809973	249701					
PM	$93.86 	0.32	0.34%	1.46124E+11	2622084					
PMF	$14.88 	-0.02	-0.13%	387070762	59746					
PMGM	$9.73 	0.01	0.10%	335685000	12406					
PML	$14.61 	0.02	0.14%	924208146	187915					
PMM	$8.81 	-0.03	-0.34%	430714460	63488					
PMO	$14.44 	-0.21	-1.43%	492543866	66026					
PMT	$17.93 	-0.02	-0.11%	1739330023	706744					
PMVP	$23.23 	0.18	0.78%	1054185623	385289					
PMX	$12.81 	0.1	0.79%	425773361	15039					
PNC	$201.17 	0.1	0.05%	85022651144	669649					
PNFP	$95.87 	0.5	0.52%	7299200023	128874					
PNM	$45.57 	0.41	0.91%	3911495208	351699					
PNNT	$6.84 	-0.07	-1.01%	458588518	144671					
PNT	$5.77 	0.17	3.04%	520002751	250133					
PNTG	$21.81 	-0.17	-0.77%	621085965	115229					
PNW	$69.72 	0.83	1.21%	7865728340	551436					
PODD	$266.17 	-6.59	-2.42%	18357022515	296715					
POLY	$29.65 	-0.7	-2.31%	1266990724	321116					
POOL	$561.21 	0.3	0.05%	22497770205	264635					
POR	$52.39 	0.68	1.32%	4684169625	301347					
POSH	$17.52 	-1.01	-5.45%	1349093051	698211					
POST	$110.75 	3.03	2.81%	6928925234	269917					
POW	$9.78 	0.03	0.31%	337410000	5260					
POWI	$91.81 	-2.28	-2.42%	5539052000	437489					
POWL	$29.57 	0.07	0.24%	346685866	19661					
POWW	$5.49 	-0.18	-3.18%	631970458	1139761					
PPBI	$39.91 	0.48	1.22%	3765710564	191039					
PPC	$27.99 	0.2	0.72%	6820477861	219509					
PPG	$171.19 	1.45	0.85%	40640652025	609729					
PPL	$29.77 	0.24	0.81%	22348812403	2066152					
PPT	$4.25 	-0.05	-1.16%	434401608	647782					
PRA	$25.12 	0.21	0.84%	1356067052	109693					
PRAA	$49.84 	0.8	1.63%	2173672867	324158					
PRAX	$19.51 	-0.16	-0.81%	875136209	108203					
PRCH	$16.81 	-0.61	-3.50%	1648457655	893383					
PRCT	$25.27 	-1.27	-4.79%	1099164919	141534					
PRDO	$11.85 	0.11	0.94%	830750424	431311					
PRFT	$132.32 	-3.99	-2.93%	4358415572	246352					
PRG	$45.30 	0.14	0.31%	2569317065	288103					
PRGO	$39.75 	0	0.00%	5317511770	656697					
PRGS	$49.05 	0.29	0.60%	2150476538	243125					
PRI	$154.03 	-0.56	-0.36%	6082622520	110458					
PRIM	$24.34 	-0.03	-0.12%	1309998296	197062					
PRK	$138.94 	-1.05	-0.75%	2253547334	20395					
PRLB	$52.42 	-0.09	-0.17%	1446249401	186366					
PRLD	$12.65 	0.09	0.72%	597274203	350901					
PRO	$34.98 	-2.17	-5.84%	1552836672	229673					
PROG	$1.99 	-0.01	-0.50%	325861616	15803938					
PRPB	$9.94 	0.08	0.81%	1078490000	528858					
PRPL	$13.44 	-0.09	-0.67%	899514349	1774729					
PRS	$26.79 	0.1	0.38%	912509380	21921					
PRSR	$9.74 	0	0.00%	395687500	26983					
PRTA	$45.70 	-1.73	-3.65%	2129335837	294831					
PRTH	$7.30 	0.01	0.14%	559436529	8195					
PRTS	$11.62 	-0.24	-2.02%	579722427	398875					
PRTY	$5.60 	-0.05	-0.89%	628462145	2210206					
PRU	$109.06 	0.23	0.21%	41224680000	1934861					
PRVA	$26.30 	0.01	0.04%	2800911760	408969					
PRVB	$5.79 	-0.27	-4.46%	366939733	737862					
PSA	$370.62 	1.82	0.49%	64989907027	497759					
PSAG	$9.69 	-0.0309	-0.32%	391090832	11316					
PSB	$183.88 	0.75	0.41%	5066003409	42937					
PSEC	$8.50 	0	0.00%	3313865250	1763133					
PSMT	$73.64 	1.64	2.28%	2272713690	67127					
PSNL	$13.43 	-0.18	-1.32%	601447253	581061					
PSTX	$6.91 	-0.14	-1.99%	431918388	75901					
PSX	$73.93 	1.14	1.57%	32396276891	2316219					
PSXP	$37.14 	0.79	2.17%	8480553022	757118					
PTC	$122.34 	-0.26	-0.21%	14420448613	370277					
PTCT	$40.42 	-0.63	-1.54%	2857609118	324401					
PTEN	$8.78 	-0.16	-1.79%	1888685081	1516992					
PTGX	$34.01 	-0.18	-0.53%	1623237000	435320					
PTLO	$36.79 	-0.68	-1.82%	1317345821	581453					
PTOC	$9.84 	0	0.00%	424350000	32404					
PTON	$35.13 	-1.58	-4.30%	11599859394	13994228					
PTRA	$8.85 	-0.1	-1.12%	1932016764	1618538					
PTSI	$71.10 	0.26	0.37%	793992257	19840					
PTVE	$12.53 	-0.19	-1.49%	2220954704	52009					
PTY	$16.42 	-0.01	-0.06%	1873686200	639906					
PUBM	$34.27 	-0.31	-0.90%	1639014292	557292					
PUCK	$9.75 	0.02	0.21%	323322188	4336					
PUMP	$8.40 	-0.2	-2.33%	868319046	341048					
PVBC	$18.28 	-0.34	-1.83%	327676860	28926					
PVH	$104.05 	1.21	1.18%	7424979907	859416					
